Management,Type,Acres,District,Field Office,Name,Lease Status
Bureau of Land Management,Wilderness Study Area,33.0489871603,Twin Falls,Shoshone,,
Bureau of Land Management,Wilderness Study Area,137.665728664,Twin Falls,Shoshone,,
Bureau of Land Management,Wilderness Study Area,2.78488412509,Twin Falls,Shoshone,,
Bureau of Land Management,Wilderness Study Area,31.0009918979,Twin Falls,Shoshone,,
Bureau of Land Management,Wilderness Study Area,18.1238562395,Twin Falls,Shoshone,,
Bureau of Land Management,Wilderness Study Area,13.5256631507,Twin Falls,Shoshone,,
Bureau of Land Management,Wilderness Study Area,21.8359500788,Twin Falls,Shoshone,,
Bureau of Land Management,Wilderness Study Area,18.1680029744,Twin Falls,Shoshone,,
Bureau of Land Management,Wilderness Study Area,42.3924289970,Twin Falls,Shoshone,,
Bureau of Land Management,Wilderness Study Area,437.216710627,Twin Falls,Shoshone,,
Bureau of Land Management,Wilderness Study Area,3.87018219405,Twin Falls,Shoshone,,
Bureau of Land Management,Wilderness Study Area,309.040326663,Twin Falls,Shoshone,,
Bureau of Land Management,Wilderness Study Area,5.15581779401,Twin Falls,Shoshone,,
Bureau of Land Management,National Conservation Area,669.078180443,California Desert,Barstow,,
Bureau of Land Management,Wilderness Study Area,186.790612095,Twin Falls,Shoshone,,
Bureau of Land Management,Wilderness Study Area,54.3491524522,Twin Falls,Shoshone,,
Bureau of Land Management,Wilderness Study Area,323.853116186,Twin Falls,Shoshone,,
Bureau of Land Management,Wilderness Study Area,22.9828925400,Twin Falls,Shoshone,,
Bureau of Land Management,Wilderness Study Area,46.7577018276,Twin Falls,Shoshone,,
Bureau of Land Management,Area of Critical Environmental Concern (CLOSED),103.803124465,Twin Falls,Burley,Goose Creek Mesa,CLOSED
Bureau of Land Management,Area of Critical Environmental Concern (OPEN),654.827369472,Twin Falls,Burley,Jim Sage Canyon,OPEN
Bureau of Land Management,Area of Critical Environmental Concern (OPEN),90.0343415005,Twin Falls,Burley,Granite Pass,OPEN
Bureau of Land Management,National Wildlife Refuge,4.77107688410,N/A,Alturas,,
Bureau of Land Management,National Wildlife Refuge,2.73172430188,N/A,Alturas,,
Bureau of Land Management,National Wildlife Refuge,30.7163011267,N/A,Alturas,,
Bureau of Land Management,National Wildlife Refuge,1.61235009703,N/A,Alturas,,
Bureau of Land Management,Wilderness Study Area,1035.88098213,Twin Falls,Shoshone,,
Bureau of Land Management,Area of Critical Environmental Concern (OPEN),438.663353868,Twin Falls,Burley,Substation Tract,OPEN
Bureau of Land Management,Wilderness Study Area,24800.4555766,N/A,Winnemucca,,
Bureau of Land Management,Wilderness Study Area,20202.7515791,N/A,Eagle Lake,,
Bureau of Land Management,Area of Critical Environmental Concern (OPEN),251.198120762,Twin Falls,Burley,Oregon-California Trail Junction,OPEN
Bureau of Land Management,Wilderness Area,3336.17158209,N/A,Winnemucca,,
Bureau of Land Management,Wilderness Area,46550.3821251,N/A,Surprise,,
Bureau of Land Management,Wilderness Area,54556.8011464,N/A,Winnemucca,,
Bureau of Land Management,Wilderness Study Area,195809.061803,N/A,Carson City,,
Bureau of Land Management,Wilderness Study Area,68882.0526777,N/A,Winnemucca,,
Bureau of Land Management,Wilderness Study Area,25185.7757015,N/A,Winnemucca,,
Bureau of Land Management,Wilderness Study Area,75066.7810507,N/A,Winnemucca,,
Bureau of Land Management,Wilderness Study Area,46413.6331973,N/A,Eagle Lake,,
Bureau of Land Management,Wilderness Study Area,18415.3471214,N/A,Eagle Lake,,
Bureau of Land Management,National Conservation Area,39.1202251024,,,,
Bureau of Land Management,National Conservation Area,90.9954240469,,,,
Bureau of Land Management,National Wildlife Refuge,9.85927321967,N/A,Surprise,,
Bureau of Land Management,Area of Critical Environmental Concern (OPEN),271.213377132,Twin Falls,Burley,Oregon-California Trail Junction,OPEN
Bureau of Land Management,National Conservation Area,602.542593790,,,,
Bureau of Land Management,National Wildlife Refuge,8.37431121179,N/A,Surprise,,
Bureau of Land Management,Area of Critical Environmental Concern (OPEN),767.407938775,Twin Falls,Burley,Salmon Falls Creek Canyon,OPEN
Bureau of Land Management,Area of Critical Environmental Concern (OPEN),3091.02258293,Twin Falls,Jarbridge,Salmon Falls Creek Canyon,OPEN
Bureau of Land Management,Area of Critical Environmental Concern (OPEN),9.34372031034,Twin Falls,Burley,Playas,OPEN
Bureau of Land Management,National Conservation Area,538.132108411,,,,
Bureau of Land Management,National Conservation Area,1.66461404891,,,,
Bureau of Land Management,National Conservation Area,1.67834202038,,,,
Bureau of Land Management,National Conservation Area,127.989931737,,,,
Bureau of Land Management,National Conservation Area,43.3666377753,,,,
Bureau of Land Management,National Conservation Area,213.322629995,,,,
Bureau of Land Management,National Wildlife Refuge,7.65496869853,N/A,Elko,,
Bureau of Land Management,Area of Critical Environmental Concern (OPEN),914.281664356,Twin Falls,Burley,Salmon Falls Creek Canyon,OPEN
Bureau of Land Management,Area of Critical Environmental Concern (OPEN),28.2712588448,Twin Falls,Burley,Playas,OPEN
Bureau of Land Management,National Conservation Area,12.8591993514,,,,
Bureau of Land Management,National Conservation Area,131.717792078,,,,
Bureau of Land Management,National Conservation Area,41.1385041246,,,,
Bureau of Land Management,National Conservation Area,2.15755827894,,,,
Bureau of Land Management,National Wildlife Refuge,39.6731324345,N/A,Elko,,
Bureau of Land Management,Area of Critical Environmental Concern (OPEN),204.013728676,Twin Falls,Burley,Granite Pass,OPEN
Bureau of Land Management,Area of Critical Environmental Concern (OPEN),122.320632601,Twin Falls,Shoshone,Box Canyon,OPEN
Bureau of Land Management,Area of Critical Environmental Concern (UNKNOWN),98.4258846939,Twin Falls,Shoshone,Vinyard Lake,UNKNOWN
Bureau of Land Management,Historic/Scenic Trail,69211.1128263,,Burley,,
Bureau of Land Management,Wilderness Area,53545.5665791,N/A,Winnemucca,,
Bureau of Land Management,Wilderness Study Area,10835.7164931,N/A,Alturas,,
Bureau of Land Management,Wilderness Study Area,23228.0969051,N/A,Winnemucca,,
Bureau of Land Management,Wilderness Study Area,41010.2468602,N/A,Elko,,
Bureau of Land Management,National Conservation Area,4754.43860787,,,,
Bureau of Land Management,National Conservation Area,6.37037573546,,,,
Bureau of Land Management,National Conservation Area,601.705552008,,,,
Bureau of Land Management,National Conservation Area,262.260587738,,,,
Bureau of Land Management,National Conservation Area,287.395362199,,,,
Bureau of Land Management,National Conservation Area,153.608260990,,,,
Bureau of Land Management,National Wildlife Refuge,1.28562788336,N/A,Surprise,,
Bureau of Land Management,National Wildlife Refuge,43.7075169999,N/A,Surprise,,
Bureau of Land Management,National Wildlife Refuge,144.869857679,N/A,Surprise,,
Bureau of Land Management,National Wildlife Refuge,62.0833669009,N/A,Surprise,,
Bureau of Land Management,National Wildlife Refuge,261.211454348,N/A,Surprise,,
Bureau of Land Management,National Wildlife Refuge,1.16886470559,N/A,Surprise,,
Bureau of Land Management,National Wildlife Refuge,5.07596111597,N/A,Surprise,,
Bureau of Land Management,National Wildlife Refuge,1.04023284503,N/A,Surprise,,
Bureau of Land Management,National Wildlife Refuge,3.18282475899,N/A,Surprise,,
Bureau of Land Management,National Wildlife Refuge,8.23755825375,N/A,Carson City,,
Bureau of Land Management,National Wildlife Refuge,1.60930323021,N/A,Carson City,,
Bureau of Land Management,National Wildlife Refuge,7.33022405315,N/A,Carson City,,
Bureau of Land Management,National Wildlife Refuge,7.52567222053,N/A,Carson City,,
Bureau of Land Management,National Wildlife Refuge,1.79996928206,N/A,Carson City,,
Bureau of Land Management,National Wildlife Refuge,1.20882418637,N/A,Carson City,,
Bureau of Land Management,National Wildlife Refuge,1.13123865696,N/A,Carson City,,
Bureau of Land Management,National Wildlife Refuge,15.7747278246,N/A,Carson City,,
Bureau of Land Management,National Wildlife Refuge,1.46232161388,N/A,Carson City,,
Bureau of Land Management,National Wildlife Refuge,1.88645166138,N/A,Carson City,,
Bureau of Land Management,National Wildlife Refuge,18.3514961401,N/A,Carson City,,
Bureau of Land Management,National Wildlife Refuge,3.20135611071,N/A,Carson City,,
Bureau of Land Management,National Wildlife Refuge,3.06966956869,N/A,Carson City,,
Bureau of Land Management,National Wildlife Refuge,24.8103946371,N/A,Elko,,
Bureau of Land Management,National Wildlife Refuge,40.4061911057,N/A,Elko,,
Bureau of Land Management,National Wildlife Refuge,3.21178823531,N/A,Ely,,
Bureau of Land Management,National Wildlife Refuge,40.3937869392,N/A,Ely,,
Bureau of Land Management,National Wildlife Refuge,601.744721541,N/A,Ely,,
Bureau of Land Management,National Wildlife Refuge,40.3475091258,N/A,Ely,,
Bureau of Land Management,National Wildlife Refuge,1.41499360953,N/A,Ely,,
Bureau of Land Management,National Wildlife Refuge,6.83069553035,N/A,Ely,,
Bureau of Land Management,National Wildlife Refuge,3.64819308005,N/A,Ely,,
Bureau of Land Management,National Wildlife Refuge,10.4717944971,N/A,Winnemucca,,
Bureau of Land Management,National Wildlife Refuge,3.37283508883,N/A,Winnemucca,,
Bureau of Land Management,National Wildlife Refuge,1.36738225945,N/A,Winnemucca,,
Bureau of Land Management,Wilderness Area,49.9880157290,N/A,Surprise,,
Bureau of Land Management,Wilderness Area,58393.7118771,N/A,Winnemucca,,
Bureau of Land Management,Historic/Scenic Trail,155900.482607,,Ely,,
Bureau of Land Management,Wilderness Area,14.5433794521,N/A,Winnemucca,,
Bureau of Land Management,Wilderness Area,34.8798053247,N/A,Winnemucca,,
Bureau of Land Management,Wilderness Area,13.9758838339,N/A,Winnemucca,,
Bureau of Land Management,Wilderness Area,11233.8625020,N/A,Winnemucca,,
Bureau of Land Management,Wilderness Area,64964.1444484,N/A,Winnemucca,,
Bureau of Land Management,Wilderness Study Area,316.979935996,N/A,Surprise,,
Bureau of Land Management,Wilderness Area,23473.2110269,N/A,Winnemucca,,
Bureau of Land Management,Wilderness Area,1670.69484897,N/A,Winnemucca,,
Bureau of Land Management,Wilderness Area,1.67932665852,N/A,Winnemucca,,
Bureau of Land Management,Wilderness Area,4647.70210726,N/A,Ely,,
Bureau of Land Management,Wilderness Area,314111.574960,N/A,Winnemucca,,
Bureau of Land Management,Wilderness Area,29011.7511326,N/A,Winnemucca,,
Bureau of Land Management,Wilderness Area,41617.5602087,N/A,Ely,,
Bureau of Land Management,Wilderness Area,4181.40572976,N/A,Winnemucca,,
Bureau of Land Management,Wilderness Study Area,196.643119044,N/A,Surprise,,
Bureau of Land Management,Wilderness Study Area,41.0080307390,N/A,Surprise,,
Bureau of Land Management,Wilderness Study Area,8.23361519922,N/A,Surprise,,
Bureau of Land Management,Wilderness Study Area,1.39103009151,N/A,Winnemucca,,
Bureau of Land Management,Wilderness Area,2138.52880065,N/A,Ely,,
Bureau of Land Management,Wilderness Area,13463.8950849,N/A,Ely,,
Bureau of Land Management,Wilderness Area,902.634328208,N/A,Winnemucca,,
Bureau of Land Management,Wilderness Area,30.7864723790,N/A,Winnemucca,,
Bureau of Land Management,Wilderness Study Area,183.960095442,N/A,Surprise,,
Bureau of Land Management,National Conservation Area,1.24021530694,California Desert,Barstow,,
Bureau of Land Management,Wilderness Area,920.316457235,N/A,Ely,,
Bureau of Land Management,National Conservation Area,26.9929099084,California Desert,Barstow,,
Bureau of Land Management,Wilderness Area,37430.1799472,N/A,Surprise,,
Bureau of Land Management,Wilderness Area,47430.0544982,N/A,Surprise,,
Bureau of Land Management,Wilderness Study Area,15723.6528120,N/A,Battle Mountain,,
Bureau of Land Management,Wilderness Study Area,15190.2068119,N/A,Battle Mountain,,
Bureau of Land Management,Wilderness Study Area,112.803631105,N/A,Surprise,,
Bureau of Land Management,Wilderness Study Area,612.733204992,N/A,Surprise,,
Bureau of Land Management,Wilderness Study Area,6.49888785000,N/A,Surprise,,
Bureau of Land Management,Wilderness Study Area,205.735961279,N/A,Surprise,,
Bureau of Land Management,Wilderness Study Area,2272.02751685,N/A,Surprise,,
Bureau of Land Management,Wilderness Study Area,49.3578458691,N/A,Surprise,,
Bureau of Land Management,National Conservation Area,1.63006130570,California Desert,Barstow,,
Bureau of Land Management,National Conservation Area,1.52301442702,California Desert,Barstow,,
Bureau of Land Management,Wilderness Study Area,10453.9868085,N/A,Alturas,,
Bureau of Land Management,Wilderness Study Area,179.380255734,N/A,Eagle Lake,,
Bureau of Land Management,National Conservation Area,1.87621135511,N/A,Las Vegas,,
Bureau of Land Management,National Conservation Area,4.41406717483,California Desert,Needles,,
Bureau of Land Management,National Conservation Area,3.35190676838,California Desert,Barstow,,
Bureau of Land Management,National Conservation Area,11.3210374615,California Desert,Needles,,
Bureau of Land Management,Wilderness Study Area,17733.8971825,N/A,Alturas,,
Bureau of Land Management,Wilderness Study Area,190.608814461,N/A,Surprise,,
Bureau of Land Management,National Conservation Area,235.372972400,California Desert,Needles,,
Bureau of Land Management,National Conservation Area,9.41432235717,California Desert,Barstow,,
Bureau of Land Management,Wilderness Study Area,8253.14377568,N/A,Surprise,,
Bureau of Land Management,Wilderness Study Area,168.940976756,N/A,Surprise,,
Bureau of Land Management,Wilderness Study Area,24.2267015389,N/A,Surprise,,
Bureau of Land Management,Wilderness Study Area,92.1782843523,N/A,Eagle Lake,,
Bureau of Land Management,Wilderness Study Area,21340.1672022,N/A,Elko,,
Bureau of Land Management,National Conservation Area,1.90598814456,California Desert,Needles,,
Bureau of Land Management,Wilderness Study Area,7513.63668900,N/A,Elko,,
Bureau of Land Management,Wilderness Study Area,28.1188866395,N/A,Elko,,
Bureau of Land Management,Wilderness Study Area,479.988631261,N/A,Carson City,,
Bureau of Land Management,Wilderness Study Area,1.87774640362,N/A,Elko,,
Bureau of Land Management,Wilderness Study Area,40213.3698697,N/A,Elko,,
Bureau of Land Management,Wilderness Study Area,9454.79492375,N/A,Elko,,
Bureau of Land Management,Wilderness Study Area,46228.8085704,N/A,Carson City,,
Bureau of Land Management,Wilderness Study Area,723.527552648,N/A,Eagle Lake,,
Bureau of Land Management,Wilderness Study Area,12470.7018587,N/A,Winnemucca,,
Bureau of Land Management,National Conservation Area,1.56842068000,California Desert,Barstow,,
Bureau of Land Management,National Conservation Area,107.795157181,California Desert,Needles,,
Bureau of Land Management,National Conservation Area,9.23610872627,California Desert,Barstow,,
Bureau of Land Management,National Conservation Area,226.454530303,California Desert,Barstow,,
Bureau of Land Management,Wilderness Study Area,9258.02419301,N/A,Elko,,
Bureau of Land Management,Wilderness Study Area,554.254999272,N/A,Elko,,
Bureau of Land Management,Wilderness Study Area,34.8033088434,N/A,Winnemucca,,
Bureau of Land Management,Area of Critical Environmental Concern (UNKNOWN),145.185189241,N/A,Redding,Baker Cypress,UNKNOWN
Bureau of Land Management,Area of Critical Environmental Concern (OPEN),838.572528012,N/A,Surprise,Rahilly-Gravelly,OPEN
Bureau of Land Management,National Conservation Area,16.3194293722,California Desert,Barstow,,
Bureau of Land Management,Wilderness Study Area,12951.8371559,N/A,Winnemucca,,
Bureau of Land Management,Wilderness Study Area,2968.78703671,N/A,Winnemucca,,
Bureau of Land Management,Wilderness Study Area,1501.86017604,N/A,Eagle Lake,,
Bureau of Land Management,Wilderness Study Area,647.185892390,N/A,Eagle Lake,,
Bureau of Land Management,Wilderness Study Area,5356.26906676,N/A,Eagle Lake,,
